Year,Week,Home Team,Away Team,Avg_Home_Score,Avg_Away_Score,%Win Home,%Win Away,Predicted Spread,Over_Under,Actual_Home_Score,Actual_Away_Score,Home_Offensive_Performance,Away_Offensive_Performance,Home_Defensive_Performance,Away_Defensive_Performance,Vegas_Spread,Vegas_Total
2024,1.0,Oklahoma,Temple,50.741,13.289,1.0,0.0,Oklahoma - 37.45,O/U: 64.03,51.0,3.0,1.0051043534814057,0.2257506208142072,0.2257506208142072,1.0051043534814057,Oklahoma -43.5,59.5
2024,1.0,Pittsburgh,Kent State,35.945,17.382,1.0,0.0,Pittsburgh - 18.56,O/U: 53.33,55.0,24.0,1.530115454166087,1.380738695201933,1.380738695201933,1.530115454166087,Pittsburgh -24.5,54.5
2024,1.0,Rice,Sam Houston State,30.879,28.472,0.73,0.27,Rice - 2.41,O/U: 59.35,14.0,34.0,0.4533825577253149,1.1941556617027254,1.1941556617027254,0.4533825577253149,Rice -10.5,49.5
2024,1.0,South Alabama,North Texas,36.004,32.601,0.79,0.21,South Alabama - 3.40,O/U: 68.60,38.0,52.0,1.0554382846350403,1.5950430968375204,1.5950430968375204,1.0554382846350403,South Alabama -5.5,65.5
2024,1.0,South Carolina,Old Dominion,36.222,20.275,1.0,0.0,South Carolina - 15.95,O/U: 56.50,23.0,19.0,0.6349732206946055,0.93711467324291,0.93711467324291,0.6349732206946055,South Carolina -20.5,52.5
2024,1.0,Stanford,TCU,23.091,35.762,0.0,1.0,TCU - 12.67,O/U: 58.85,27.0,34.0,1.169286735091594,0.9507298249538616,0.9507298249538616,1.169286735091594,TCU -9.5,60.5
2024,1.0,Syracuse,Ohio,29.558,21.481,0.96,0.04,Syracuse - 8.08,O/U: 51.04,38.0,22.0,1.2856079572366197,1.0241608863646945,1.0241608863646945,1.2856079572366197,Syracuse -17.5,47.5
2024,1.0,Texas,Colorado State,50.177,12.89,1.0,0.0,Texas - 37.29,O/U: 63.07,52.0,0.0,1.036331386890408,0.0,0.0,1.036331386890408,Texas -33.5,59.5
2024,1.0,Texas A&M,Notre Dame,26.792,29.436,0.26,0.74,Notre Dame - 2.64,O/U: 56.23,13.0,23.0,0.4852194684980591,0.7813561625220818,0.7813561625220818,0.4852194684980591,Texas A&M -2.5,46.5
2024,1.0,Troy,Nevada,36.411,21.601,1.0,0.0,Troy - 14.81,O/U: 58.01,26.0,28.0,0.7140699239240889,1.2962362853571594,1.2962362853571594,0.7140699239240889,Troy -9.5,45.5
2024,1.0,UMass,Eastern Michigan,26.103,32.836,0.06,0.94,Eastern Michigan - 6.73,O/U: 58.94,14.0,28.0,0.5363368195226602,0.8527226215129736,0.8527226215129736,0.5363368195226602,UMass -1.5,49.5
2024,1.0,Vanderbilt,Virginia Tech,26.176,34.023,0.04,0.96,Virginia Tech - 7.85,O/U: 60.20,34.0,27.0,1.2988997555012225,0.793580812979455,0.793580812979455,1.2988997555012225,Virginia Tech -13.5,50.5
2024,1.0,West Virginia,Penn State,20.874,35.877,0.0,1.0,Penn State - 15.00,O/U: 56.75,12.0,34.0,0.5748778384593274,0.947682359171614,0.947682359171614,0.5748778384593274,Penn State -8.5,51.5
2024,1.0,Wisconsin,Western Michigan,34.09,17.27,1.0,0.0,Wisconsin - 16.82,O/U: 51.36,28.0,14.0,0.8213552361396304,0.8106543138390272,0.8106543138390272,0.8213552361396304,Wisconsin -24.5,56.5
